CityID;CityName;Zipcode;CountryID;CountryName;CountryCode
1;Dayton;80563;32;United States;AR
2;Buffalo;17420;32;United States;AR
3;Chicago;44751;32;United States;AR
4;Fremont;20641;32;United States;AR
5;Virginia Beach;62389;32;United States;AR
6;Austin;781;32;United States;AR
7;Riverside;1439;32;United States;AR
8;Arlington;12654;32;United States;AR
9;Atlanta;66212;32;United States;AR
10;Toledo;52048;32;United States;AR
11;Spokane;38103;32;United States;AR
12;Tacoma;43085;32;United States;AR
13;Akron;83448;32;United States;AR
14;Indianapolis;81678;32;United States;AR
15;Colorado;88609;32;United States;AR
16;Norfolk;88825;32;United States;AR
17;St. Louis;19382;32;United States;AR
18;Little Rock;81251;32;United States;AR
19;Omaha;24733;32;United States;AR
20;El Paso;95963;32;United States;AR
21;Milwaukee;78846;32;United States;AR
22;Baton Rouge;21874;32;United States;AR
23;Anaheim;21500;32;United States;AR
24;Lincoln;95386;32;United States;AR
25;Boston;59548;32;United States;AR
26;Des Moines;40742;32;United States;AR
27;Mesa;60852;32;United States;AR
28;Tucson;34760;32;United States;AR
29;Washington;63454;32;United States;AR
30;Philadelphia;17498;32;United States;AR
31;Wichita;93028;32;United States;AR
32;Jackson;40971;32;United States;AR
33;Minneapolis;95451;32;United States;AR
34;Fort Wayne;48982;32;United States;AR
35;Greensboro;35659;32;United States;AR
36;Detroit;72819;32;United States;AR
37;Fresno;90795;32;United States;AR
38;Richmond;72757;32;United States;AR
39;Lubbock;58464;32;United States;AR
40;Cleveland;51352;32;United States;AR
41;Bakersfield;13915;32;United States;AR
42;Denver;18752;32;United States;AR
43;Glendale;32198;32;United States;AR
44;Memphis;73999;32;United States;AR
45;Dallas;20151;32;United States;AR
46;New York;17104;32;United States;AR
47;San Francisco;157;32;United States;AR
48;Long Beach;97859;32;United States;AR
49;Montgomery;8944;32;United States;AR
50;Cincinnati;83634;32;United States;AR
51;Portland;79636;32;United States;AR
52;Madison;14626;32;United States;AR
53;Las Vegas;90989;32;United States;AR
54;Albuquerque;55358;32;United States;AR
55;Houston;95800;32;United States;AR
56;Stockton;46777;32;United States;AR
57;Nashville;60874;32;United States;AR
58;Columbus;87987;32;United States;AR
59;Kansas;56647;32;United States;AR
60;Fort Worth;41769;32;United States;AR
61;Miami;6794;32;United States;AR
62;Mobile;78861;32;United States;AR
63;Tulsa;69923;32;United States;AR
64;Raleigh;20327;32;United States;AR
65;Baltimore;89197;32;United States;AR
66;Shreveport;82101;32;United States;AR
67;Corpus Christi;78414;32;United States;AR
68;Anchorage;29493;32;United States;AR
69;Oakland;29029;32;United States;AR
70;Rochester;415;32;United States;AR
71;Phoenix;84193;32;United States;AR
72;Honolulu;93782;32;United States;AR
73;Santa Ana;23419;32;United States;AR
74;Tampa;81280;32;United States;AR
75;San Antonio;3863;32;United States;AR
76;Birmingham;14935;32;United States;AR
77;Louisville;4409;32;United States;AR
78;San Diego;83701;32;United States;AR
79;Oklahoma;40472;32;United States;AR
80;New Orleans;35640;32;United States;AR
81;Sacramento;81966;32;United States;AR
82;Charlotte;39774;32;United States;AR
83;Aurora;40050;32;United States;AR
84;Newark;31536;32;United States;AR
85;St. Petersburg;88713;32;United States;AR
86;San Jose;45666;32;United States;AR
87;Los Angeles;63756;32;United States;AR
88;Seattle;20135;32;United States;AR
89;St. Paul;77998;32;United States;AR
90;Grand Rapids;70862;32;United States;AR
91;Jacksonville;68274;32;United States;AR
92;Hialeah;34375;32;United States;AR
93;Jersey;55355;32;United States;AR
94;Yonkers;7430;32;United States;AR
95;Garland;73265;32;United States;AR
96;Pittsburgh;14257;32;United States;AR
